dataset_release,comparison_kind,expected_class,reporting_category,planned_pairs,successful_scores,technical_failures,same_decisions,different_decisions,no_decisions,correct_same,correct_different,false_matches,false_non_matches,correct_decisions,incorrect_decisions,decision_coverage,technical_failure_rate,valid_only_correct_rate,strict_correct_completion_rate,match_rate_valid,false_non_match_rate_valid,correct_reject_rate_valid,false_match_rate_valid
sd300b,plain_self,same,self_consistency,500,500,0,492,8,0,492,0,0,8,492,8,500/500 (100.00%),0/500 (0.00%),492/500 (98.40%),492/500 (98.40%),492/500 (98.40%),8/500 (1.60%),N/A,N/A
sd300b,roll_self,same,self_consistency,500,500,0,500,0,0,500,0,0,0,500,0,500/500 (100.00%),0/500 (0.00%),500/500 (100.00%),500/500 (100.00%),500/500 (100.00%),0/500 (0.00%),N/A,N/A
sd300b,plain_roll_genuine,same,verification_genuine,500,500,0,321,179,0,321,0,0,179,321,179,500/500 (100.00%),0/500 (0.00%),321/500 (64.20%),321/500 (64.20%),321/500 (64.20%),179/500 (35.80%),N/A,N/A
sd300b,plain_roll_next_subject,different,verification_impostor,500,500,0,0,500,0,0,500,0,0,500,0,500/500 (100.00%),0/500 (0.00%),500/500 (100.00%),500/500 (100.00%),N/A,N/A,500/500 (100.00%),0/500 (0.00%)
sd300c,plain_self,same,self_consistency,500,500,0,495,5,0,495,0,0,5,495,5,500/500 (100.00%),0/500 (0.00%),495/500 (99.00%),495/500 (99.00%),495/500 (99.00%),5/500 (1.00%),N/A,N/A
sd300c,roll_self,same,self_consistency,500,500,0,500,0,0,500,0,0,0,500,0,500/500 (100.00%),0/500 (0.00%),500/500 (100.00%),500/500 (100.00%),500/500 (100.00%),0/500 (0.00%),N/A,N/A
sd300c,plain_roll_genuine,same,verification_genuine,500,500,0,308,192,0,308,0,0,192,308,192,500/500 (100.00%),0/500 (0.00%),308/500 (61.60%),308/500 (61.60%),308/500 (61.60%),192/500 (38.40%),N/A,N/A
sd300c,plain_roll_next_subject,different,verification_impostor,500,500,0,0,500,0,0,500,0,0,500,0,500/500 (100.00%),0/500 (0.00%),500/500 (100.00%),500/500 (100.00%),N/A,N/A,500/500 (100.00%),0/500 (0.00%)
